"id","time_parse","channel","usr_parse","msg_parse"
34743,"2023-12-31 16:12:36","#atropa_logged","mariarahel!~maria","Are You Pest ?"
34742,"2023-12-31 16:12:15","#atropa_logged","mariarahel!~maria","Inshallah Means Di, Whitemansberge"
34741,"2023-12-31 16:11:06","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=_3MlQa9vG-s"
34740,"2023-12-31 16:10:44","#atropa_logged","mariarahel!~maria","inshallah"
34739,"2023-12-31 16:09:59","#atropa_logged","mariarahel!~maria","Brigham Young Would Absolutely Not Tolerate Sporting & Schooling To Mix"
34738,"2023-12-31 16:08:58","#atropa_logged","mariarahel!~maria","$BRIGHAMtm"
34737,"2023-12-31 16:08:44","#atropa_logged","mariarahel!~maria","how young is your kill ?"
34736,"2023-12-31 16:08:10","#atropa_logged","mariarahel!~maria","WANITA"
34735,"2023-12-31 16:08:06","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=-sJSqCy-Cl4"
34734,"2023-12-31 16:07:26","#atropa_logged","mariarahel!~maria","WTF Could Eric Wall Possibly Think Is Worth Sporting Over ?"
34733,"2023-12-31 16:06:40","#atropa_logged","mariarahel!~maria","OK ?"
34732,"2023-12-31 16:06:31","#atropa_logged","mariarahel!~maria","Atlantic City Is The Worst At Veal"
34731,"2023-12-31 16:06:02","#atropa_logged","mariarahel!~maria","Buy Veal With Fendi & Eat Charles Schwab"
34730,"2023-12-31 16:05:40","#atropa_logged","mariarahel!~maria","Buy Veal With Fendi"
34729,"2023-12-31 16:05:26","#atropa_logged","mariarahel!~maria","Buy Veal"
34728,"2023-12-31 16:05:04","#atropa_logged","mariarahel!~maria","Be Brave Like That The Coffee, Druckricci Rodeo"
34727,"2023-12-31 16:04:43","#atropa_logged","mariarahel!~maria","Be Brave Like That The Coffee"
34726,"2023-12-31 16:04:38","#atropa_logged","mariarahel!~maria","Be Brave Like That"
34725,"2023-12-31 16:04:06","#atropa_logged","mariarahel!~maria","Ricci Problem Rodeo Drive"
34724,"2023-12-31 16:03:54","#atropa_logged","mariarahel!~maria","If I Had To Have Coffee With One Problem Actress It Would Be Her"
34723,"2023-12-31 16:03:19","#atropa_logged","mariarahel!~maria","Zero Atlantic City, Cristina Ricci"
34722,"2023-12-31 16:02:53","#atropa_logged","mariarahel!~maria","Zero Atlantic City"
34721,"2023-12-31 16:02:40","#atropa_logged","mariarahel!~maria","It's Too Good To Be True Vs Nothing"
34720,"2023-12-31 16:02:26","#atropa_logged","mariarahel!~maria","I Can See It Happening But Probably Not Today, It's Too Good To Be True"
34719,"2023-12-31 16:02:10","#atropa_logged","mariarahel!~maria","I Can See It Happening But Probably Not Today"
34718,"2023-12-31 16:01:51","#atropa_logged","mariarahel!~maria","If We Get To 6 We Can Keep It Closed"
34717,"2023-12-31 16:01:26","#atropa_logged","mariarahel!~maria","Close The Book With Charles Schwab, Ninja Nerds"
34716,"2023-12-31 16:01:13","#atropa_logged","mariarahel!~maria","$SPECTATORStm"
34715,"2023-12-31 16:01:01","#atropa_logged","mariarahel!~maria","Fuck Off All Dem"
34714,"2023-12-31 16:00:42","#atropa_logged","mariarahel!~maria","Pygmalion That Contains Only Those That Must Die"
34713,"2023-12-31 16:00:20","#atropa_logged","mariarahel!~maria","If You Are Going To Murder One Book"
34712,"2023-12-31 16:00:03","#atropa_logged","mariarahel!~maria","https://www.e-rara.ch/zuz/content/titleinfo/4901094"
34711,"2023-12-31 15:59:49","#atropa_logged","mariarahel!~maria","Anti-Trap, Nicki Minaj"
34710,"2023-12-31 15:59:24","#atropa_logged","mariarahel!~maria","Anti-Trap"
34709,"2023-12-31 15:59:11","#atropa_logged","mariarahel!~maria","C You Are The Exorcist Vs The Bergemeister & The Prince Of Peace"
34708,"2023-12-31 15:58:54","#atropa_logged","mariarahel!~maria","C You Are The Exorcist"
34707,"2023-12-31 15:58:42","#atropa_logged","mariarahel!~maria","Use These Lyrics & C"
34706,"2023-12-31 15:58:13","#atropa_logged","mariarahel!~maria","Both Of You Fuck Off"
34705,"2023-12-31 15:58:00","#atropa_logged","mariarahel!~maria","The Prince Of Peace That Built Atlantic City Casinos Vs You, Bergemeister"
34704,"2023-12-31 15:57:38","#atropa_logged","mariarahel!~maria","That You Will Hurt Much Much Much More"
34703,"2023-12-31 15:57:29","#atropa_logged","mariarahel!~maria","That You Will Hurt, Bergemeister"
34702,"2023-12-31 15:56:58","#atropa_logged","mariarahel!~maria","That You Hurt"
