"time_parse","usr_parse","msg_parse"
"2023-11-20 21:47:35","mariarahel!~maria","Semper Fuck Off"
"2023-11-20 22:07:47","mariarahel!~maria","ASL Like A Fuckin Hero"
"2023-11-22 15:52:35","mariarahel!~maria","Pay The Fuck Out Of Them !!"
"2023-11-22 18:31:45","mariarahel!~maria","Take The Fucking Oath Already"
"2023-11-22 18:44:25","mariarahel!~maria","Maybe They Just Fuck Off"
"2023-11-23 21:51:33","mariarahel!~maria","Sitting Bull Can Fuck Off"
"2023-11-24 00:16:46","mariarahel!~maria","the bar is set where i want it.. so I can fuck off :)"
"2023-11-25 19:47:27","mariarahel!~maria","Ryan Reynolds Can Fuck Off"
"2023-11-25 20:13:15","mariarahel!~maria","If You Intend To Further Obscure Anyone's Identity Then Fuck Off"
"2023-11-25 20:25:46","mariarahel!~maria","World's Fuck Off Diamond"
"2023-11-25 23:57:49","mariarahel!~maria","Fucking Magic Castle"
"2023-11-26 01:01:22","mariarahel!~maria","Once Upon A Time A Bag Of Dicks Invented A Bag Of Dicks Game No One Wanted To Know About & Everyone Only Wanted Them To Fuck Off"
"2023-11-26 03:04:46","mariarahel!~maria","We Have The Right To Say Don't Fucking Do That"
"2023-11-26 16:28:49","mariarahel!~maria","Assert Motherfucker ?"
"2023-11-26 17:35:33","mariarahel!~maria","Sujet That Can Fuck Off"
"2023-11-26 18:14:33","mariarahel!~maria","Assert The Job Motherfucker"
"2023-11-26 18:15:26","mariarahel!~maria","Asserting Fuck Off"
"2023-11-26 18:30:42","mariarahel!~maria","Attackers Can Fuck Off"
"2023-11-26 18:32:12","mariarahel!~maria","Assert Safety Or Fuck Off"
"2023-11-26 20:50:24","mariarahel!~maria","Mana Can Fuck Off"
"2023-11-26 22:11:10","mariarahel!~maria","Defence Can Fuck Off"
"2023-11-26 22:12:04","mariarahel!~maria","Trying To Make Some Fuckin Money With CNBC"
"2023-11-27 04:05:10","mariarahel!~maria","How Many Fuck Off Have You Got ?"
"2023-11-27 04:05:39","mariarahel!~maria","I Wish I Could Use Rabbinical Studies To Tell Joseph Mengele To Fuck Off"
"2023-11-27 04:13:17","mariarahel!~maria","I Don't Like Her She Can Fuck Off"
"2023-11-27 04:16:03","mariarahel!~maria","Everybody That Knows Dat Girl Rav Chisda Can Fuck Off"
"2023-11-27 04:24:12","mariarahel!~maria","Joseph Mengele That Fuck Off"
"2023-11-27 04:24:59","mariarahel!~maria","Be More Careful With Your Words When You Are Mean & Tell Joseph Mengele To Fuck Off"
